paper-stener-2005	doi	10.1063/1.1937367
paper-bachau-2001	doi	10.1088/0034-4885/64/12/201
paper-mccurdy-2004	doi	10.1088/0953-4075/37/4/017
paper-hrodmarsson-2023	doi	10.1051/0004-6361/202346645
paper-nisoli-2017	doi	10.1021/acs.chemrev.6b00453
paper-qian-2002	q	Tight-binding parameters from the full-potential linear muffin-tin orbital method: A feasibility study on NiAl
paper-ruizserrano-2012	doi	10.1063/1.4832338
paper-vanroose-2006	doi	10.1103/physreva.74.052702
paper-calegari-2016	doi	10.1088/0953-4075/49/14/142001
paper-ruckenbauer-2016	doi	10.1038/srep35522
paper-brosolo-1992	doi	10.1016/0301-0104(92)80069-8
paper-carmona-1996	doi	10.1016/0301-0104(96)00128-0
paper-moccia-2003	doi	10.1016/s0009-2614(02)01765-7
paper-egel-2024	q	Multilevel Fast Multipole Algorithm for Electromagnetic Scattering by Large Metasurfaces using Static Mode Representation
paper-eyert	q	Basic Notions and Applications of the Augmented Spherical Wave Method
paper-felderhof-1987	doi	10.1063/1.527572
paper-fruhnert-2024	q	T-matrix representation of optical scattering response: Suggestion for a data format
paper-gonis-1999	doi	10.1007/978-1-4612-1290-4
paper-huang-2026	q	Systematically Improvable Numerical Atomic Orbital Basis Using Contracted Truncated Spherical Waves
paper-moroz-2006	doi	10.1088/0305-4470/39/36/009
paper-weinberg-1994	doi	10.1063/1.530827
